Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
Sri Lanka,LKA,1960,1409873949.57983,NA,1.48766903447727,32.9126434212487,29.9532498882432,9874481
Sri Lanka,LKA,1961,1444327731.09244,NA,1.50454580122017,28.4854295359203,27.5375436843795,10111646
Sri Lanka,LKA,1962,1434156378.60082,3.81801955804475,1.52716785026373,29.2012956134026,27.7926736422291,10352188
Sri Lanka,LKA,1963,1240672268.90756,2.51674859426929,1.56187893079886,27.4925716773732,25.7568075413568,10597520
Sri Lanka,LKA,1964,1309747899.15966,3.90643383740719,1.61179107074419,26.7217396876675,24.6155221290607,10849979
Sri Lanka,LKA,1965,1698319327.73109,2.53695353505728,1.6153818721815,25.4948045522019,25.9030183077684,11110828
Sri Lanka,LKA,1966,1751470588.23529,5.0237894388105,1.61286831117347,25.8486266042941,22.3701571308624,11380683
Sri Lanka,LKA,1967,1859465020.57613,6.43902441989306,1.64817785861561,23.304193869647,20.4603297554498,11657660
Sri Lanka,LKA,1968,1801344537.81513,5.8010941668135,1.74477041721725,23.5886908649809,20.6214425678828,11937611
Sri Lanka,LKA,1969,1965546218.48739,7.71681966165517,1.87487712254117,24.617357845233,18.3924754168448,12214968
Sri Lanka,LKA,1970,2296470588.23529,3.8466298552930702,1.98487533983075,28.6007025761124,25.4537470725995,12485756
Sri Lanka,LKA,1971,2369308600.33727,1.30690540231168,2.03777981430398,26.6120996441281,24.6120996441281,12747842
Sri Lanka,LKA,1972,2553936348.40871,-0.410479918822958,2.1671683593457,23.8997835639798,22.3257034170656,13002275
Sri Lanka,LKA,1973,2875625000,7.05739893457458,2.37579392271312,25.5596609432732,24.3479678330798,13252087
Sri Lanka,LKA,1974,3574586466.16541,3.84583083731744,2.66808515951288,33.8984476883598,26.4313659501073,13501986
Sri Lanka,LKA,1975,3791298145.50642,6.12623316500047,2.8448722834955,34.9587989615081,27.4899349061218,13755161
Sri Lanka,LKA,1976,3591319857.31272,3.33510669021624,2.88269539194328,31.3809886435122,29.0467834321094,14012817
Sri Lanka,LKA,1977,4104509582.86359,5.100590267645,2.91800493938423,30.1562886258137,33.8149257011014,14273272
Sri Lanka,LKA,1978,2733183856.50224,5.65383685205222,3.27229734763165,39.5452947380757,34.7708894878706,14533376
Sri Lanka,LKA,1979,3364611432.24149,6.40355692521604,3.62347772796402,45.7537175253403,33.7106534063794,14788607
Sri Lanka,LKA,1980,4024621899.57653,5.8460265156252,4.57085083987479,54.7988034933185,32.2184977527921,15035856
Sri Lanka,LKA,1981,4415844155.84416,5.69952476907687,5.39218682142123,46.5360861125816,30.459384742074,15273391
Sri Lanka,LKA,1982,4768765016.81884,4.14149569994117,5.97593144135499,46.2574820129386,27.3564561962152,15502515
Sri Lanka,LKA,1983,5167913302.16745,4.81399097113133,6.81043369482823,41.4314027022804,26.3287308492529,15726802
Sri Lanka,LKA,1984,6043474842.76729,5.09914656058612,7.94357093430771,34.7436681279513,28.8040014049146,15951422
Sri Lanka,LKA,1985,5978460972.01767,4.99940636915493,8.06122952799179,37.9652040030793,26.0120092378753,16179796
Sri Lanka,LKA,1986,6405210563.88294,4.3555469169942,8.70422237161244,35.3293513266546,23.7181987363072,16412711
Sri Lanka,LKA,1987,6682167119.56522,1.72561069100101,9.37594162670882,35.6963852726931,25.1922754329692,16647945
Sri Lanka,LKA,1988,6978371581.26375,2.4726850377301,10.6877810842647,36.8367705489634,26.0764386301592,16882189
Sri Lanka,LKA,1989,6987267683.77254,2.29930141383986,11.9240940183063,36.7567717782692,27.2602038183182,17110713
Sri Lanka,LKA,1990,8032551173.24014,6.3999953069393,14.4872080825492,38.0631106580812,30.1808045148298,17329713
Sri Lanka,LKA,1991,9000362581.58086,4.59998724452278,16.2525657613351,38.8548254978582,28.7410868952182,17539633
Sri Lanka,LKA,1992,9703011635.86585,4.39999125185615,18.1026663539849,41.03338247708,31.7703740803183,17740637
Sri Lanka,LKA,1993,10338679635.7616,6.90006325197233,20.229138963742,43.3465114649745,33.8010068759821,17928576
Sri Lanka,LKA,1994,11717604208.8223,5.59991872721346,21.9382407533809,45.617906901244,33.8128837957878,18098348
Sri Lanka,LKA,1995,13029697560.9756,5.50008523205227,23.6219675462129,46.0374199577101,35.597629130901,18247121
Sri Lanka,LKA,1996,13897738375.2488,3.79996720523084,27.3863243838163,43.9006259373438,34.9733377770372,18372120
Sri Lanka,LKA,1997,15091913883.7091,6.40539969772809,30.0082078982108,43.599435228784,36.5381180807663,18476505
Sri Lanka,LKA,1998,15794972847.1683,4.69842304623258,32.8182494077947,42.2511704483166,36.2438186772706,18570701
Sri Lanka,LKA,1999,15656327859.5696,4.30054049792376,34.3579850630866,43.2677736325718,35.4837047170656,18669103
Sri Lanka,LKA,2000,16330814179.9766,6.00003316014399,36.4800290177408,49.620740818488,39.015700886425,18781938
Sri Lanka,LKA,2001,15749753804.8344,-1.54540813414314,41.6450378017238,43.5674130558662,37.3311884768914,18913054
Sri Lanka,LKA,2002,16536535647.0834,3.96467568566092,45.6225685511801,41.4218015848181,34.9133301978336,19059300
Sri Lanka,LKA,2003,18881765437.2151,5.94026907760478,48.5034685424131,40.6827444981201,34.6535028324228,19215307
Sri Lanka,LKA,2004,20662525941.2986,5.44506127789968,52.1780553441436,44.1520421686776,35.3309027324412,19372538
Sri Lanka,LKA,2005,24405791044.7761,6.24174804465225,58.2514171977792,41.267099970564,32.3368729874893,19524558
Sri Lanka,LKA,2006,28279814924.5918,7.66829190011271,64.088316153921,41.132651394503696,30.1285270937972,19670151
Sri Lanka,LKA,2007,32350248410.8216,6.79682611895811,74.241258652681,39.491511973103,29.1149996870361,19810789
Sri Lanka,LKA,2008,40713812309.7316,5.9500881450785,90.9934241427903,38.5275565094015,24.8414870988205,19945832
Sri Lanka,LKA,2009,42066217871.5349,3.53891205299132,94.1463128229218,27.8207752870405,21.328366243783,20075086
Sri Lanka,LKA,2010,56725749222.0435,8.01596737114569,100,26.8115666916947,19.5523202562715,20198353
Sri Lanka,LKA,2011,65292753005.7475,8.40473302136866,106.716768435885,34.087737450689,20.8968387281115,20315017
Sri Lanka,LKA,2012,68434409314.841,9.1445722454058,114.766322217003,31.6755983187142,19.8164817812305,20425000
Sri Lanka,LKA,2013,74317806538.3789,3.39573265051311,122.694896603917,28.9373940401417,20.320398302451,20585000
Sri Lanka,LKA,2014,79356449840.8881,4.96070059189285,126.595370167296,29.1621204110948,21.0887622906703,20771000
Sri Lanka,LKA,2015,80604080688.7961,5.00768330402408,131.365949371736,28.5456934016977,21.013103191302,20966000
Sri Lanka,LKA,2016,81787420023.358,4.46882968833408,136.566580789574,28.6756428337663,21.3328438402052,21203000
Sri Lanka,LKA,2017,87357205923.1238,3.30879963339585,147.08785819643,29.0788930347715,21.8901715225959,21444000
